"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",285680,"Non-standardised",577.7,575.6,579.8,""
2001,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",285680,"Age-standardised",682.3,679.7,684.8,""
2002,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",284780,"Non-standardised",573.2,571.1,575.3,""
2002,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",284780,"Age-standardised",674.2,671.7,676.7,""
2003,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",291685,"Non-standardised",584.2,582.1,586.4,""
2003,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",291685,"Age-standardised",684.7,682.2,687.2,""
2004,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",301697,"Non-standardised",601.1,598.9,603.2,""
2004,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",301697,"Age-standardised",702.1,699.6,704.7,""
2005,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",307906,"Non-standardised",608.4,606.3,610.6,""
2005,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",307906,"Age-standardised",709.5,707,712.1,""
2006,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",320360,"Non-standardised",628.6,626.4,630.8,""
2006,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",320360,"Age-standardised",730.9,728.4,733.5,""
2007,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",331604,"Non-standardised",645.4,643.2,647.6,""
2007,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",331604,"Age-standardised",746.8,744.2,749.4,""
2008,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",357199,"Non-standardised",689.4,687.1,691.6,""
2008,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",357199,"Age-standardised",793.3,790.7,796,""
2009,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",361347,"Non-standardised",692.3,690,694.5,""
2009,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",361347,"Age-standardised",790.5,787.9,793.1,""
2010,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",373292,"Non-standardised",709.1,706.8,711.4,""
2010,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",373292,"Age-standardised",805.3,802.7,807.9,""
2011,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",384227,"Non-standardised",723.5,721.2,725.8,""
2011,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",384227,"Age-standardised",817.8,815.2,820.4,""
2012,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",400502,"Non-standardised",748.7,746.4,751,""
2012,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",400502,"Age-standardised",837.6,835,840.2,""
2013,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",418586,"Non-standardised",777.1,774.7,779.4,""
2013,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",418586,"Age-standardised",861.6,858.9,864.2,""
2014,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",425330,"Non-standardised",783.1,780.7,785.4,""
2014,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",425330,"Age-standardised",858.8,856.2,861.4,""
2015,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",433356,"Non-standardised",791,788.6,793.4,""
2015,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",433356,"Age-standardised",862.4,859.8,865,""
2016,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",441888,"Non-standardised",799.5,797.2,801.9,""
2016,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",441888,"Age-standardised",866,863.5,868.6,""
2017,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",440898,"Non-standardised",792.7,790.4,795,""
2017,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",440898,"Age-standardised",849.5,847,852,""
2018,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",453574,"Non-standardised",810.3,807.9,812.6,""
2018,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",453574,"Age-standardised",860.4,857.8,862.9,""
2019,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",459849,"Non-standardised",817,814.6,819.3,""
2019,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",459849,"Age-standardised",857,854.5,859.5,""
2020,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",392466,"Non-standardised",694,691.8,696.2,""
2020,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",392466,"Age-standardised",722.5,720.3,724.8,""
2001,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",140446,"Non-standardised",555.5,552.6,558.4,""
2001,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",140446,"Age-standardised",595.3,592.2,598.5,""
2002,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",139378,"Non-standardised",549,546.1,551.9,""
2002,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",139378,"Age-standardised",587.6,584.5,590.7,""
2003,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",143929,"Non-standardised",564.5,561.6,567.4,""
2003,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",143929,"Age-standardised",603,599.9,606.2,""
2004,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",146819,"Non-standardised",573,570.1,576,""
2004,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",146819,"Age-standardised",611.9,608.8,615.1,""
2005,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",150421,"Non-standardised",582.6,579.6,585.5,""
2005,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",150421,"Age-standardised",622.9,619.7,626.1,""
2006,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",155660,"Non-standardised",599,596,602,""
2006,"Female","All ages","E92000001","England","C00-C97","All malignant cancers",155660,"Age-standardised",639.3,636.1,642.5,""
