"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Female","20 to 24","E92000001","England","C00-C97","All malignant cancers",418,"Age-specific",28,25.4,30.8,""
2001,"Female","25 to 29","E92000001","England","C00-C97","All malignant cancers",956,"Age-specific",57.6,54,61.4,""
2001,"Female","30 to 34","E92000001","England","C00-C97","All malignant cancers",1810,"Age-specific",93.7,89.5,98.2,""
2001,"Female","35 to 39","E92000001","England","C00-C97","All malignant cancers",3163,"Age-specific",160.3,154.7,166,""
2001,"Female","40 to 44","E92000001","England","C00-C97","All malignant cancers",4650,"Age-specific",265.3,257.7,273,""
2001,"Female","45 to 49","E92000001","England","C00-C97","All malignant cancers",6517,"Age-specific",413.5,403.5,423.6,""
2001,"Female","50 to 54","E92000001","England","C00-C97","All malignant cancers",10879,"Age-specific",641.2,629.2,653.4,""
2001,"Female","55 to 59","E92000001","England","C00-C97","All malignant cancers",11860,"Age-specific",829.7,814.8,844.7,""
2001,"Female","60 to 64","E92000001","England","C00-C97","All malignant cancers",13015,"Age-specific",1067.5,1049.3,1086,""
2001,"Female","65 to 69","E92000001","England","C00-C97","All malignant cancers",14166,"Age-specific",1262.9,1242.2,1283.8,""
2001,"Female","70 to 74","E92000001","England","C00-C97","All malignant cancers",17604,"Age-specific",1655.5,1631.1,1680.1,""
2001,"Female","75 to 79","E92000001","England","C00-C97","All malignant cancers",19564,"Age-specific",2045.2,2016.6,2074.1,""
2001,"Female","80 to 84","E92000001","England","C00-C97","All malignant cancers",16382,"Age-specific",2325.9,2290.4,2361.8,""
2001,"Female","85 to 89","E92000001","England","C00-C97","All malignant cancers",11946,"Age-specific",2690.2,2642.2,2738.9,""
2001,"Female","90 and over","E92000001","England","C00-C97","All malignant cancers",6668,"Age-specific",2691.4,2627.2,2756.8,""
2002,"Female","20 to 24","E92000001","England","C00-C97","All malignant cancers",457,"Age-specific",29.9,27.2,32.8,""
2002,"Female","25 to 29","E92000001","England","C00-C97","All malignant cancers",903,"Age-specific",56.4,52.8,60.2,""
2002,"Female","30 to 34","E92000001","England","C00-C97","All malignant cancers",1876,"Age-specific",98.3,93.9,102.8,""
2002,"Female","35 to 39","E92000001","England","C00-C97","All malignant cancers",3125,"Age-specific",156.7,151.2,162.3,""
2002,"Female","40 to 44","E92000001","England","C00-C97","All malignant cancers",4391,"Age-specific",243.6,236.4,250.9,""
2002,"Female","45 to 49","E92000001","England","C00-C97","All malignant cancers",6379,"Age-specific",400.3,390.5,410.2,""
2002,"Female","50 to 54","E92000001","England","C00-C97","All malignant cancers",10081,"Age-specific",620,607.9,632.2,""
2002,"Female","55 to 59","E92000001","England","C00-C97","All malignant cancers",12610,"Age-specific",815.9,801.8,830.3,""
2002,"Female","60 to 64","E92000001","England","C00-C97","All malignant cancers",13038,"Age-specific",1067.3,1049,1085.8,""
2002,"Female","65 to 69","E92000001","England","C00-C97","All malignant cancers",14490,"Age-specific",1286,1265.1,1307.1,""
2002,"Female","70 to 74","E92000001","England","C00-C97","All malignant cancers",17310,"Age-specific",1634.6,1610.4,1659.2,""
2002,"Female","75 to 79","E92000001","England","C00-C97","All malignant cancers",19145,"Age-specific",2043.5,2014.7,2072.7,""
2002,"Female","80 to 84","E92000001","England","C00-C97","All malignant cancers",16767,"Age-specific",2275.7,2241.4,2310.4,""
