"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","All ages","E92000001","England","C00","Malignant neoplasm of lip",246,"Non-standardised",0.5,0.4,0.6,""
2001,"Persons","All ages","E92000001","England","C00","Malignant neoplasm of lip",246,"Age-standardised",0.6,0.5,0.7,""
2001,"Persons","All ages","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",4257,"Non-standardised",8.6,8.4,8.9,""
2001,"Persons","All ages","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",4257,"Age-standardised",10,9.7,10.3,""
2001,"Persons","All ages","E92000001","England","C01","Malignant neoplasm of base of tongue",272,"Non-standardised",0.6,0.5,0.6,""
2001,"Persons","All ages","E92000001","England","C01","Malignant neoplasm of base of tongue",272,"Age-standardised",0.6,0.6,0.7,""
2001,"Persons","All ages","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue",775,"Non-standardised",1.6,1.5,1.7,""
2001,"Persons","All ages","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue",775,"Age-standardised",1.8,1.7,1.9,""
2001,"Persons","All ages","E92000001","England","C03","Malignant neoplasm of gum",208,"Non-standardised",0.4,0.4,0.5,""
2001,"Persons","All ages","E92000001","England","C03","Malignant neoplasm of gum",208,"Age-standardised",0.5,0.4,0.6,""
2001,"Persons","All ages","E92000001","England","C04","Malignant neoplasm of floor of mouth",366,"Non-standardised",0.7,0.7,0.8,""
2001,"Persons","All ages","E92000001","England","C04","Malignant neoplasm of floor of mouth",366,"Age-standardised",0.9,0.8,0.9,""
2001,"Persons","All ages","E92000001","England","C05","Malignant neoplasm of palate",234,"Non-standardised",0.5,0.4,0.5,""
2001,"Persons","All ages","E92000001","England","C05","Malignant neoplasm of palate",234,"Age-standardised",0.5,0.5,0.6,""
2001,"Persons","All ages","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth",352,"Non-standardised",0.7,0.6,0.8,""
2001,"Persons","All ages","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth",352,"Age-standardised",0.8,0.8,0.9,""
2001,"Persons","All ages","E92000001","England","C07","Malignant neoplasm of parotid gland",366,"Non-standardised",0.7,0.7,0.8,""
2001,"Persons","All ages","E92000001","England","C07","Malignant neoplasm of parotid gland",366,"Age-standardised",0.9,0.8,0.9,""
2001,"Persons","All ages","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands",114,"Non-standardised",0.2,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands",114,"Age-standardised",0.3,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C09","Malignant neoplasm of tonsil",465,"Non-standardised",0.9,0.9,1,""
2001,"Persons","All ages","E92000001","England","C09","Malignant neoplasm of tonsil",465,"Age-standardised",1.1,1,1.2,""
2001,"Persons","All ages","E92000001","England","C10","Malignant neoplasm of oropharynx",132,"Non-standardised",0.3,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C10","Malignant neoplasm of oropharynx",132,"Age-standardised",0.3,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C11","Malignant neoplasm of nasopharynx",175,"Non-standardised",0.4,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C11","Malignant neoplasm of nasopharynx",175,"Age-standardised",0.4,0.3,0.5,""
2001,"Persons","All ages","E92000001","England","C12","Malignant neoplasm of piriform sinus",212,"Non-standardised",0.4,0.4,0.5,""
2001,"Persons","All ages","E92000001","England","C12","Malignant neoplasm of piriform sinus",212,"Age-standardised",0.5,0.4,0.6,""
2001,"Persons","All ages","E92000001","England","C13","Malignant neoplasm of hypopharynx",159,"Non-standardised",0.3,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C13","Malignant neoplasm of hypopharynx",159,"Age-standardised",0.4,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",181,"Non-standardised",0.4,0.3,0.4,""
