"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127040,"Non-standardised",256.9,255.5,258.3,""
2001,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127040,"Age-standardised",308.3,306.6,310,""
2002,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128381,"Non-standardised",258.4,257,259.8,""
2002,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128381,"Age-standardised",308.9,307.2,310.6,""
2003,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127286,"Non-standardised",255,253.6,256.4,""
2003,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127286,"Age-standardised",303.9,302.2,305.5,""
2004,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126048,"Non-standardised",251.1,249.7,252.5,""
2004,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126048,"Age-standardised",298.6,296.9,300.2,""
2005,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126246,"Non-standardised",249.5,248.1,250.8,""
2005,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126246,"Age-standardised",295.7,294.1,297.4,""
2006,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126779,"Non-standardised",248.8,247.4,250.1,""
2006,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",126779,"Age-standardised",293.5,291.9,295.1,""
2007,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127719,"Non-standardised",248.6,247.2,249.9,""
2007,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",127719,"Age-standardised",291.6,290,293.2,""
2008,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128802,"Non-standardised",248.6,247.2,249.9,""
2008,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128802,"Age-standardised",290.1,288.5,291.7,""
2009,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128549,"Non-standardised",246.3,244.9,247.6,""
2009,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",128549,"Age-standardised",285.1,283.5,286.7,""
2010,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",129523,"Non-standardised",246,244.7,247.4,""
2010,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",129523,"Age-standardised",282.7,281.2,284.3,""
2011,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",131033,"Non-standardised",246.7,245.4,248.1,""
2011,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",131033,"Age-standardised",281.8,280.3,283.4,""
2012,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",133105,"Non-standardised",248.8,247.5,250.2,""
2012,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",133105,"Age-standardised",280.7,279.2,282.3,""
2013,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",132868,"Non-standardised",246.7,245.3,248,""
2013,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",132868,"Age-standardised",275.6,274.1,277.1,""
2014,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",134353,"Non-standardised",247.4,246,248.7,""
2014,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",134353,"Age-standardised",272.8,271.3,274.3,""
2015,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",135299,"Non-standardised",247,245.6,248.3,""
2015,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",135299,"Age-standardised",270.7,269.2,272.1,""
2016,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136896,"Non-standardised",247.7,246.4,249,""
2016,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136896,"Age-standardised",269.3,267.9,270.8,""
2017,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136967,"Non-standardised",246.3,245,247.6,""
2017,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136967,"Age-standardised",264.4,263,265.9,""
2018,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136913,"Non-standardised",244.6,243.3,245.9,""
2018,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",136913,"Age-standardised",259.8,258.4,261.2,""
2019,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",137850,"Non-standardised",244.9,243.6,246.2,""
2019,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",137850,"Age-standardised",256,254.7,257.4,""
2020,"Persons","All ages","E92000001","England","C00-C97","All malignant cancers",138028,"Non-standardised",244.1,242.8,245.4,""
