"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","All ages","E92000001","England","C00","Malignant neoplasm of lip",12,"Non-standardised",0,0,0,"u"
2001,"Persons","All ages","E92000001","England","C00","Malignant neoplasm of lip",12,"Age-standardised",0,0,0,"u"
2001,"Persons","All ages","E92000001","England","C01","Malignant neoplasm of base of tongue",26,"Non-standardised",0.1,0,0.1,""
2001,"Persons","All ages","E92000001","England","C01","Malignant neoplasm of base of tongue",26,"Age-standardised",0.1,0,0.1,""
2001,"Persons","All ages","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue",358,"Non-standardised",0.7,0.7,0.8,""
2001,"Persons","All ages","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue",358,"Age-standardised",0.9,0.8,0.9,""
2001,"Persons","All ages","E92000001","England","C03","Malignant neoplasm of gum",69,"Non-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C03","Malignant neoplasm of gum",69,"Age-standardised",0.2,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C04","Malignant neoplasm of floor of mouth",64,"Non-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C04","Malignant neoplasm of floor of mouth",64,"Age-standardised",0.2,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C05","Malignant neoplasm of palate",61,"Non-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C05","Malignant neoplasm of palate",61,"Age-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth",183,"Non-standardised",0.4,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth",183,"Age-standardised",0.4,0.4,0.5,""
2001,"Persons","All ages","E92000001","England","C07","Malignant neoplasm of parotid gland",133,"Non-standardised",0.3,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C07","Malignant neoplasm of parotid gland",133,"Age-standardised",0.3,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands",29,"Non-standardised",0.1,0,0.1,""
2001,"Persons","All ages","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands",29,"Age-standardised",0.1,0,0.1,""
2001,"Persons","All ages","E92000001","England","C09","Malignant neoplasm of tonsil",164,"Non-standardised",0.3,0.3,0.4,""
2001,"Persons","All ages","E92000001","England","C09","Malignant neoplasm of tonsil",164,"Age-standardised",0.4,0.3,0.5,""
2001,"Persons","All ages","E92000001","England","C10","Malignant neoplasm of oropharynx",107,"Non-standardised",0.2,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C10","Malignant neoplasm of oropharynx",107,"Age-standardised",0.3,0.2,0.3,""
2001,"Persons","All ages","E92000001","England","C11","Malignant neoplasm of nasopharynx",74,"Non-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C11","Malignant neoplasm of nasopharynx",74,"Age-standardised",0.2,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C12","Malignant neoplasm of piriform sinus",60,"Non-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C12","Malignant neoplasm of piriform sinus",60,"Age-standardised",0.1,0.1,0.2,""
2001,"Persons","All ages","E92000001","England","C13","Malignant neoplasm of hypopharynx",73,"Non-standardised",0.1,0.1,0.2,""
