"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2019,"Persons","50 to 54","E92000001","England","C00","Malignant neoplasm of lip",0,"Age-specific",NA,NA,NA,"s"
2019,"Persons","55 to 59","E92000001","England","C00","Malignant neoplasm of lip",1,"Age-specific",NA,NA,NA,"s"
2019,"Persons","60 to 64","E92000001","England","C00","Malignant neoplasm of lip",0,"Age-specific",NA,NA,NA,"s"
2019,"Persons","65 to 69","E92000001","England","C00","Malignant neoplasm of lip",0,"Age-specific",NA,NA,NA,"s"
2019,"Persons","70 to 74","E92000001","England","C00","Malignant neoplasm of lip",0,"Age-specific",NA,NA,NA,"s"
2019,"Persons","75 to 79","E92000001","England","C00","Malignant neoplasm of lip",1,"Age-specific",NA,NA,NA,"s"
2019,"Persons","50 to 54","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",164,"Age-specific",4.2,3.6,4.9,""
2019,"Persons","55 to 59","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",258,"Age-specific",7,6.2,7.9,""
2019,"Persons","60 to 64","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",357,"Age-specific",11.5,10.3,12.7,""
2019,"Persons","65 to 69","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",361,"Age-specific",12.9,11.6,14.3,""
2019,"Persons","70 to 74","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",369,"Age-specific",13.3,12,14.7,""
2019,"Persons","75 to 79","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",315,"Age-specific",16.2,14.5,18.1,""
2019,"Persons","50 to 54","E92000001","England","C00-C97","All malignant cancers",4465,"Age-specific",114.3,110.9,117.7,""
2019,"Persons","55 to 59","E92000001","England","C00-C97","All malignant cancers",6906,"Age-specific",188.1,183.7,192.6,""
2019,"Persons","60 to 64","E92000001","England","C00-C97","All malignant cancers",9928,"Age-specific",319,312.8,325.4,""
2019,"Persons","65 to 69","E92000001","England","C00-C97","All malignant cancers",14142,"Age-specific",505.7,497.4,514.1,""
2019,"Persons","70 to 74","E92000001","England","C00-C97","All malignant cancers",21110,"Age-specific",759.5,749.3,769.9,""
2019,"Persons","75 to 79","E92000001","England","C00-C97","All malignant cancers",21546,"Age-specific",1110.2,1095.5,1125.2,""
2019,"Persons","50 to 54","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",4453,"Age-specific",114,110.6,117.4,""
2019,"Persons","55 to 59","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",6890,"Age-specific",187.7,183.3,192.2,""
2019,"Persons","60 to 64","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",9895,"Age-specific",318,311.7,324.3,""
2019,"Persons","65 to 69","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",14110,"Age-specific",504.5,496.2,512.9,""
2019,"Persons","70 to 74","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",21043,"Age-specific",757.1,746.9,767.4,""
2019,"Persons","75 to 79","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",21473,"Age-specific",1106.5,1091.7,1121.4,""
2019,"Persons","50 to 54","E92000001","England","C01","Malignant neoplasm of base of tongue",2,"Age-specific",NA,NA,NA,"s"
